Company Code,EmployeeID,Plan Code,Effective Date,Wait Period Days,Add Name,Add Date,Category Code,Benefit Class,Measurement_Type
202,1007,1,2025-04-01,30,System_Admin,2025-04-01,,,
202,1025,1,2025-08-01,30,System_Admin,2025-08-01,,,
202,1040,1,2025-08-01,30,System_Admin,2025-08-01,,,
202,1054,1,2025-06-01,30,System_Admin,2025-06-01,,,
202,1055,1,2025-05-01,30,System_Admin,2025-05-01,,,
202,1060,1,2025-05-01,30,System_Admin,2025-05-01,,,
202,1069,1,2025-08-01,30,System_Admin,2025-08-01,,,
202,1095,1,2025-07-01,30,System_Admin,2025-07-01,,,
202,1104,1,2025-05-01,30,System_Admin,2025-05-01,,,
202,1105,1,2025-07-01,30,System_Admin,2025-07-01,,,
202,1106,1,2025-09-01,30,System_Admin,2025-09-01,,,
202,1110,1,2025-07-01,30,System_Admin,2025-07-01,,,
202,1113,1,2025-06-01,30,System_Admin,2025-06-01,,,
202,1115,1,2025-05-01,30,System_Admin,2025-05-01,,,
202,1116,1,2025-05-01,30,System_Admin,2025-05-01,,,
202,1122,1,2025-06-01,30,System_Admin,2025-06-01,,,
202,1123,1,2025-05-01,30,System_Admin,2025-05-01,,,
202,1127,1,2025-10-01,30,System_Admin,2025-10-01,,,
202,1131,1,2025-10-01,30,System_Admin,2025-10-01,,,
202,1144,1,2025-11-01,30,System_Admin,2025-11-01,,,
202,1147,1,2025-09-01,30,System_Admin,2025-09-01,,,
202,1157,1,2025-04-01,30,System_Admin,2025-04-01,,,
202,1160,1,2025-08-01,30,System_Admin,2025-08-01,,,
202,1168,1,2025-09-01,30,System_Admin,2025-09-01,,,
202,1174,1,2025-07-01,30,System_Admin,2025-07-01,,,
202,1178,1,2025-11-01,30,System_Admin,2025-11-01,,,
202,1179,1,2025-10-01,30,System_Admin,2025-10-01,,,
202,1182,1,2025-06-01,30,System_Admin,2025-06-01,,,
202,1183,1,2025-06-01,30,System_Admin,2025-06-01,,,
202,1194,1,2025-04-01,30,System_Admin,2025-04-01,,,
202,1197,1,2025-09-01,30,System_Admin,2025-09-01,,,
202,2006,1,1/1/2025,90,System_Admin,1/1/2025,1.0,Full-Time Staff,Monthly
202,2009,1,12/1/2025,30,System_Admin,12/1/2025,1.0,Full-Time Staff,Monthly
